1;1;555;Venta;1;2024-06-17 09:00:00;Venta de zapatos; 
2;2;555;Venta;2;2024-06-17 09:30:00;Venta de accesorios; 
3;3;555;Venta;3;2024-06-17 10:00:00;Venta de bolsos; 
4;4;555;Devolución;4;2024-06-17 10:30:00;Devolución de carteras; 
5;5;555;Venta;5;2024-06-17 11:00:00;Venta de calzado; 
6;6;555;Gasto;;2024-06-17 11:30:00;Pago a proveedores; 
7;7;555;Venta;6;2024-06-17 12:00:00;Venta de marroquinería; 
8;8;555;Venta;7;2024-06-17 12:30:00;Venta de cuero; 
9;9;555;Devolución;8;2024-06-17 13:00:00;Devolución de zapatos; 
10;10;555;Venta;9;2024-06-17 13:30:00;Venta de billeteras; 
11;11;555;Venta;10;2024-06-17 14:00:00;Venta de pulseras; 
12;12;555;Gasto;;2024-06-17 14:30:00;Compra de material; 
13;13;555;Venta;11;2024-06-17 15:00:00;Venta de fajas; 
14;14;555;Venta;12;2024-06-17 15:30:00;Venta de cinturones; 
15;15;555;Devolución;13;2024-06-17 16:00:00;Devolución de bolsos; 
16;16;555;Venta;14;2024-06-17 16:30:00;Venta de carteras de cuero; 
17;17;555;Venta;15;2024-06-17 17:00:00;Venta de calzado de cuero; 
18;18;555;Gasto;;2024-06-17 17:30:00;Pago de servicios; 
19;19;555;Venta;16;2024-06-17 18:00:00;Venta de marroquinería fina; 
20;20;555;Venta;17;2024-06-17 18:30:00;Venta de cuero vacuno; 
21;21;555;Devolución;18;2024-06-17 19:00:00;Devolución de cuero de piel; 
22;22;555;Venta;19;2024-06-17 19:30:00;Venta de cuero de cerdo; 
23;23;555;Venta;20;2024-06-17 20:00:00;Venta de cuero de cabra; 
24;24;555;Gasto;;2024-06-17 20:30:00;Publicidad y marketing; 
25;25;555;Venta;21;2024-06-17 21:00:00;Venta de cuero de oveja; 
26;26;555;Venta;22;2024-06-17 21:30:00;Venta de cuero de búfalo; 
27;27;555;Devolución;23;2024-06-17 22:00:00;Devolución de marroquinería rústica; 
28;28;555;Venta;24;2024-06-17 22:30:00;Venta de custom leatherwork; 
29;29;555;Venta;25;2024-06-17 23:00:00;Venta de leather handbags and wallets; 
30;30;555;Gasto;;2024-06-17 23:30:00;Mantenimiento de equipos; 
